Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,116," 794,531,382.00 "," 6,849,408.47 ",1%,47%,#N/A,8%,0%,0,5%,7%,109.51
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,111," 896,446,602.00 "," 8,076,095.51 ",1%,29%,3.4,11%,0%,1,6%,7%,111.93
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,106," 920,241,410.00 "," 8,681,522.74 ",1%,65%,2.15,3%,0%,1,9%,9%,121.95
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,153," 919,287,828.00 "," 6,008,417.18 ",1%,102%,1.4,1%,0%,1,7%,13%,151.77
1902,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,148," 1,209,154,413.00 "," 8,169,962.25 ",1%,10%,3.75,24%,0%,5,#N/A,#N/A,151.77
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,362," 35,188,356.00 "," 97,205.40 ",3%,7%,#N/A,10%,6%,0,7%,10%,101.78
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,378," 51,490,520.00 "," 136,218.31 ",3%,23%,#N/A,8%,8%,0,7%,13%,103.78
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,371," 66,650,802.00 "," 179,651.76 ",3%,21%,#N/A,3%,0%,0,7%,10%,101.78
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,366," 335,324,656.00 "," 916,187.58 ",3%,-330%,#N/A,13%,0%,0,5%,10%,103.37
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,382," 378,763,208.00 "," 991,526.72 ",2%,33%,#N/A,10%,0%,0,6%,9%,101.88
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,365," 445,021,761.00 "," 1,219,237.70 ",2%,41%,3.52,11%,0%,5,6%,7%,111.93
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,348," 415,981,492.00 "," 1,195,349.11 ",2%,161%,3.17,1%,0%,5,9%,9%,121.95
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,329," 427,351,724.00 "," 1,298,941.41 ",2%,79%,3.05,5%,0%,5,7%,13%,151.77
1903,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,272," 491,296,234.00 "," 1,806,236.15 ",2%,43%,3.07,11%,0%,5,#N/A,#N/A,151.77
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,234," 94,904,951.00 "," 405,576.71 ",1%,-17%,#N/A,7%,0%,0,7%,10%,101.78
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,207," 118,086,642.00 "," 570,466.87 ",2%,28%,#N/A,7%,0%,0,7%,13%,103.78
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,196," 142,001,878.00 "," 724,499.38 ",1%,25%,#N/A,6%,0%,0,7%,10%,101.78
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,175," 169,724,192.00 "," 969,852.53 ",1%,41%,#N/A,14%,0%,0,5%,10%,103.37
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,164," 210,882,562.00 "," 1,285,869.28 ",1%,24%,#N/A,12%,0%,0,6%,9%,101.88
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,142," 233,978,602.00 "," 1,647,736.63 ",1%,56%,#N/A,8%,0%,0,5%,9%,102.55
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,129," 252,692,158.00 "," 1,958,853.94 ",1%,60%,#N/A,7%,0%,0,5%,7%,109.51
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,115," 295,113,179.00 "," 2,566,201.56 ",2%,41%,3.4,14%,0%,1,6%,7%,111.93
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,99," 272,444,395.00 "," 2,751,963.59 ",2%,176%,3.15,0%,0%,1,9%,9%,121.95
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,90," 290,210,346.00 "," 3,224,559.40 ",2%,61%,3.15,6%,0%,1,7%,13%,151.77
1904,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,76," 321,713,962.00 "," 4,233,078.45 ",2%,52%,3.2,12%,0%,1,#N/A,#N/A,151.77
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,198," 116,750,693.00 "," 589,649.96 ",1%,25%,#N/A,11%,0%,0,7%,10%,101.78
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,190," 131,146,400.00 "," 690,244.21 ",1%,37%,#N/A,6%,0%,0,7%,13%,103.78
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,219," 137,384,532.00 "," 627,326.63 ",1%,77%,#N/A,8%,0%,0,7%,10%,101.78
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,644," 168,199,171.00 "," 261,178.84 ",1%,28%,#N/A,9%,9%,0,5%,10%,103.37
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,1081," 325,665,193.00 "," 301,262.90 ",1%,-90%,#N/A,9%,2%,0,6%,9%,101.88
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,1350," 353,464,572.00 "," 261,825.61 ",1%,56%,#N/A,9%,2%,0,5%,9%,102.55
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,1269," 303,010,085.00 "," 238,778.63 ",1%,187%,#N/A,8%,13%,0,5%,7%,109.51
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,1394," 352,286,872.00 "," 252,716.55 ",1%,41%,3.44,10%,5%,5,6%,7%,111.93
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,1640," 440,043,193.00 "," 268,319.02 ",1%,35%,3.26,8%,1%,5,9%,9%,121.95
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,2088," 768,877,223.00 "," 368,236.22 ",1%,3%,4.06,7%,0%,5,7%,13%,151.77
1905,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,3518," 1,146,429,610.00 "," 325,875.39 ",1%,20%,3.2,9%,0%,1,#N/A,#N/A,151.77
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,253," 83,268,422.00 "," 329,124.20 ",0%,5%,#N/A,9%,0%,0,7%,10%,101.78
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,238," 110,847,390.00 "," 465,745.34 ",0%,19%,#N/A,6%,0%,0,7%,13%,103.78
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,397," 159,066,674.00 "," 400,671.72 ",0%,-33%,#N/A,7%,0%,0,7%,10%,101.78
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,355," 178,877,377.00 "," 503,879.94 ",0%,48%,#N/A,9%,0%,0,5%,10%,103.37
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,238," 197,657,059.00 "," 830,491.84 ",0%,52%,#N/A,8%,0%,0,6%,9%,101.88
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,225," 198,117,378.00 "," 880,521.68 ",0%,99%,#N/A,10%,0%,0,5%,9%,102.55
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,185," 201,341,076.00 "," 1,088,330.14 ",0%,90%,#N/A,7%,0%,0,5%,7%,109.51
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,287," 206,782,806.00 "," 720,497.58 ",0%,85%,2.64,9%,0%,5,6%,7%,111.93
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,175," 208,987,515.00 "," 1,194,214.37 ",1%,93%,2.46,6%,0%,5,9%,9%,121.95
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,247," 213,961,744.00 "," 866,241.88 ",0%,90%,2.46,9%,0%,5,7%,13%,151.77
1906,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,286," 248,826,618.00 "," 870,023.14 ",0%,38%,2.81,11%,0%,1,#N/A,#N/A,151.77
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,99," 82,440,102.00 "," 832,728.30 ",0%,8%,#N/A,6%,0%,0,7%,10%,101.78
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,97," 93,453,237.00 "," 963,435.43 ",0%,0%,#N/A,2%,0%,0,7%,13%,103.78
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,81," 101,401,647.00 "," 1,251,872.19 ",0%,40%,#N/A,4%,0%,0,7%,10%,101.78
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,161," 125,062,973.00 "," 776,788.65 ",0%,7%,#N/A,8%,0%,0,5%,10%,103.37
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,160," 147,097,238.00 "," 919,357.74 ",0%,9%,#N/A,4%,0%,0,6%,9%,101.88
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,164," 176,190,059.00 "," 1,074,329.63 ",0%,5%,#N/A,8%,0%,0,5%,9%,102.55
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,161," 190,482,846.00 "," 1,183,123.27 ",0%,50%,#N/A,5%,0%,0,5%,7%,109.51
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,165," 217,123,783.00 "," 1,315,901.72 ",0%,20%,2.66,6%,0%,5,6%,7%,111.93
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,162," 254,825,985.00 "," 1,572,999.91 ",0%,1%,2.5,7%,0%,5,9%,9%,121.95
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,164," 272,520,150.00 "," 1,661,708.23 ",0%,33%,2.48,2%,1%,5,7%,13%,151.77
1908,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,171," 325,462,134.00 "," 1,903,287.33 ",0%,10%,2.23,11%,0%,1,#N/A,#N/A,151.77
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,38," 25,739,857.00 "," 677,364.66 ",1%,-3%,#N/A,9%,0%,0,7%,10%,101.78
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,43," 31,797,952.00 "," 739,487.26 ",1%,23%,#N/A,4%,0%,0,7%,13%,103.78
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,19," 37,684,948.00 "," 1,983,418.32 ",1%,30%,#N/A,6%,0%,0,7%,10%,101.78
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,42," 40,401,937.00 "," 961,950.88 ",1%,71%,#N/A,10%,0%,0,5%,10%,103.37
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,50," 40,087,851.00 "," 801,757.02 ",1%,104%,#N/A,4%,0%,0,6%,9%,101.88
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,55," 49,594,658.00 "," 901,721.05 ",0%,22%,#N/A,8%,0%,0,5%,9%,102.55
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,55," 60,952,615.00 "," 1,108,229.36 ",0%,3%,#N/A,6%,0%,0,5%,7%,109.51
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,61," 68,234,460.00 "," 1,118,597.70 ",0%,53%,3.44,8%,1%,5,6%,7%,111.93
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,48," 80,088,547.00 "," 1,668,511.40 ",0%,13%,2.46,6%,0%,5,9%,9%,121.95
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,48," 85,551,249.00 "," 1,782,317.69 ",0%,38%,2.46,9%,0%,5,7%,13%,151.77
1909,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,46," 89,536,491.00 "," 1,946,445.46 ",0%,60%,3.22,11%,0%,1,#N/A,#N/A,151.77
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,60," 644,520,886.00 "," 10,742,014.77 ",1%,10%,#N/A,17%,0%,0,7%,10%,101.78
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,55," 471,808,228.00 "," 8,578,331.42 ",2%,1159%,#N/A,0%,0%,0,7%,13%,103.78
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,55," 508,070,530.00 "," 9,237,646.00 ",2%,30%,#N/A,7%,0%,0,7%,10%,101.78
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,54," 467,335,269.00 "," 8,654,356.83 ",2%,153%,#N/A,13%,0%,0,5%,10%,103.37
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,57," 499,522,664.00 "," 8,763,555.51 ",2%,41%,#N/A,8%,0%,0,6%,9%,101.88
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,108," 498,626,264.00 "," 4,616,909.85 ",1%,101%,#N/A,11%,0%,0,5%,9%,102.55
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,106," 561,040,140.00 "," 5,292,831.51 ",1%,-2%,#N/A,8%,0%,0,5%,7%,109.51
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,101," 579,254,968.00 "," 5,735,197.70 ",1%,79%,4.2,12%,0%,1,6%,7%,111.93
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,106," 541,344,531.00 "," 5,107,023.88 ",2%,408%,3.84,0%,0%,1,9%,9%,121.95
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,105," 517,682,356.00 "," 4,930,308.15 ",2%,198%,3.83,2%,0%,1,7%,13%,151.77
191,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,103," 467,449,792.00 "," 4,538,347.50 ",2%,168%,2.75,13%,0%,1,#N/A,#N/A,151.77
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,1854," 2,263,947,000.00 "," 1,221,114.89 ",1%,16%,#N/A,2%,0%,0,7%,13%,103.78
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,1827," 3,053,285,000.00 "," 1,671,201.42 ",1%,16%,#N/A,6%,0%,0,7%,10%,101.78
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,1806," 4,168,093,000.00 "," 2,307,914.17 ",1%,13%,#N/A,13%,0%,0,5%,10%,103.37
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,1848," 5,055,293,000.00 "," 2,735,548.16 ",2%,23%,#N/A,4%,0%,0,6%,9%,101.88
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,2148," 6,479,860,000.00 "," 3,016,694.60 ",1%,23%,#N/A,13%,0%,0,5%,9%,102.55
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,2347," 7,682,771,000.00 "," 3,273,443.12 ",1%,31%,#N/A,7%,0%,0,5%,7%,109.51
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,2573," 9,113,421,227.00 "," 3,541,943.73 ",1%,32%,2.6,10%,0%,1,6%,7%,111.93
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,2488," 9,908,046,441.00 "," 3,982,333.78 ",1%,45%,3.09,1%,0%,1,9%,9%,121.95
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,2513," 11,034,397,589.00 "," 4,390,926.22 ",1%,29%,2.54,2%,0%,1,7%,13%,151.77
1910,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,2413," 14,693,754,103.00 "," 6,089,413.22 ",1%,16%,2.98,19%,0%,5,#N/A,#N/A,151.77
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,0," 269,386,241.00 ", -   ,2%,9%,#N/A,10%,0%,0,7%,10%,101.78
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,1013," 324,747,199.00 "," 320,579.66 ",2%,33%,#N/A,3%,0%,0,7%,13%,103.78
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,928," 358,266,497.00 "," 386,063.04 ",2%,61%,#N/A,7%,0%,0,7%,10%,101.78
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,906," 454,348,587.00 "," 501,488.51 ",2%,23%,#N/A,15%,3%,0,5%,10%,103.37
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,826," 464,661,455.00 "," 562,544.13 ",1%,85%,#N/A,4%,19%,0,6%,9%,101.88
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2021,5,640," 561,127,940.00 "," 876,762.41 ",3%,46%,4.28,7%,39%,1,6%,7%,111.93
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2022,5,582," 552,708,183.00 "," 949,670.42 ",3%,121%,3.9,0%,47%,1,9%,9%,121.95
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2023,5,1111," 512,747,404.00 "," 461,518.82 ",2%,263%,4,-2%,58%,1,7%,13%,151.77
1911,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,1041," 524,378,485.00 "," 503,725.73 ",2%,76%,3.72,8%,0%,5,#N/A,#N/A,151.77
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,83," 76,346,867.00 "," 919,841.77 ",1%,5%,#N/A,8%,0%,0,7%,10%,101.78
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,85," 110,588,548.00 "," 1,301,041.74 ",2%,15%,#N/A,8%,0%,0,7%,13%,103.78
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,101," 361,765,923.00 "," 3,581,840.82 ",1%,-345%,#N/A,6%,0%,0,7%,10%,101.78
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,117," 449,450,685.00 "," 3,841,458.85 ",1%,11%,#N/A,13%,0%,0,5%,10%,103.37
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,128," 553,907,148.00 "," 4,327,399.59 ",1%,10%,#N/A,12%,0%,0,6%,9%,101.88
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,128," 634,138,453.00 "," 4,954,206.66 ",1%,16%,#N/A,7%,0%,0,5%,9%,102.55
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,136," 728,365,764.00 "," 5,355,630.62 ",1%,5%,#N/A,7%,0%,0,5%,7%,109.51
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,136," 888,417,994.00 "," 6,532,485.25 ",1%,10%,3.4,14%,0%,1,6%,7%,111.93
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,132," 877,817,648.00 "," 6,650,133.70 ",1%,135%,3.18,-1%,0%,1,9%,9%,121.95
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,139," 930,283,667.00 "," 6,692,688.25 ",2%,38%,3.18,5%,0%,1,7%,13%,151.77
1912,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,133," 1,024,502,886.00 "," 7,703,029.22 ",1%,43%,3.07,12%,0%,1,#N/A,#N/A,151.77
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,115," 30,237,784.00 "," 262,937.25 ",2%,27%,#N/A,11%,0%,0,7%,10%,101.78
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,109," 55,550,196.00 "," 509,634.83 ",2%,-143%,#N/A,6%,0%,0,7%,13%,103.78
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,117," 90,182,647.00 "," 770,791.85 ",2%,-83%,#N/A,10%,0%,0,7%,10%,101.78
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,123," 95,190,813.00 "," 773,909.05 ",2%,80%,#N/A,12%,0%,0,5%,10%,103.37
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,443," 111,491,912.00 "," 251,674.74 ",2%,27%,#N/A,3%,0%,0,6%,9%,101.88
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,488," 148,193,883.00 "," 303,675.99 ",2%,5%,#N/A,12%,0%,0,5%,9%,102.55
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,210," 163,262,682.00 "," 777,441.34 ",2%,51%,#N/A,9%,0%,0,5%,7%,109.51
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,371," 188,345,489.00 "," 507,669.78 ",2%,25%,3.52,10%,0%,5,6%,7%,111.93
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,158," 218,858,097.00 "," 1,385,177.83 ",2%,-2%,3.05,5%,0%,5,9%,9%,121.95
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,169," 238,411,984.00 "," 1,410,721.80 ",2%,48%,3.05,8%,0%,5,7%,13%,151.77
1913,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,261," 276,904,850.00 "," 1,060,938.12 ",2%,60%,3.06,15%,0%,1,#N/A,#N/A,151.77
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,208," 268,032,731.00 "," 1,288,618.90 ",0%,1%,#N/A,8%,6%,0,7%,10%,101.78
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,322," 349,925,930.00 "," 1,086,726.49 ",0%,3%,#N/A,5%,0%,0,7%,13%,103.78
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,355," 501,512,851.00 "," 1,412,712.26 ",0%,-56%,#N/A,6%,0%,0,7%,10%,101.78
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,359," 610,303,630.00 "," 1,700,010.11 ",1%,13%,#N/A,8%,14%,0,5%,10%,103.37
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,378," 746,117,772.00 "," 1,973,856.54 ",0%,13%,#N/A,8%,25%,0,6%,9%,101.88
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,357," 863,449,219.00 "," 2,418,625.26 ",0%,19%,#N/A,6%,34%,0,5%,9%,102.55
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,340," 1,018,738,690.00 "," 2,996,290.26 ",0%,11%,#N/A,5%,38%,0,5%,7%,109.51
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,329," 1,273,879,392.00 "," 3,871,973.84 ",0%,14%,3.44,9%,38%,5,6%,7%,111.93
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,399," 1,433,944,091.00 "," 3,593,844.84 ",0%,21%,3.09,6%,42%,5,9%,9%,121.95
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,359," 1,680,723,727.00 "," 4,681,681.69 ",0%,5%,3.17,8%,43%,5,7%,13%,151.77
1914,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,347," 1,885,277,997.00 "," 5,433,077.80 ",0%,10%,2.93,5%,37%,1,#N/A,#N/A,151.77
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,78," 56,980,577.00 "," 730,520.22 ",1%,3%,#N/A,9%,0%,0,7%,10%,101.78
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,78," 78,135,492.00 "," 1,001,737.08 ",2%,20%,#N/A,7%,0%,0,7%,13%,103.78
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,78," 106,786,532.00 "," 1,369,058.10 ",1%,6%,#N/A,7%,0%,0,7%,10%,101.78
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,76," 135,004,786.00 "," 1,776,378.76 ",1%,20%,#N/A,9%,0%,0,5%,10%,103.37
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,75," 260,720,748.00 "," 3,476,276.64 ",1%,-179%,#N/A,6%,0%,0,6%,9%,101.88
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,73," 289,089,668.00 "," 3,960,132.44 ",1%,48%,#N/A,9%,0%,0,5%,9%,102.55
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,70," 330,012,272.00 "," 4,714,461.03 ",1%,18%,#N/A,7%,0%,0,5%,7%,109.51
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,70," 366,730,290.00 "," 5,239,004.14 ",1%,36%,2.72,8%,0%,5,6%,7%,111.93
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,5,106," 400,477,566.00 "," 3,778,090.25 ",1%,37%,3.71,6%,0%,5,9%,9%,121.95
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,5,101," 427,092,845.00 "," 4,228,642.03 ",1%,62%,3.76,9%,0%,5,7%,13%,151.77
1915,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,5,148," 481,082,871.00 "," 3,250,559.94 ",1%,36%,3.77,11%,0%,1,#N/A,#N/A,151.77
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,0," 20,936,540.00 ", -   ,4%,10%,#N/A,10%,0%,0,7%,10%,101.78
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,34," 21,939,393.00 "," 645,276.26 ",3%,82%,#N/A,-3%,0%,0,7%,13%,103.78
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,31," 111,795,823.00 "," 3,606,316.87 ",1%,-192%,#N/A,9%,0%,0,5%,10%,103.37
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,30," 131,462,152.00 "," 4,382,071.73 ",1%,-73%,#N/A,4%,0%,0,6%,9%,101.88
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,32," 109,844,049.00 "," 3,432,626.53 ",1%,188%,#N/A,17%,0%,0,5%,9%,102.55
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,28," 81,004,101.00 "," 2,893,003.61 ",1%,358%,#N/A,6%,0%,0,5%,7%,109.51
1916,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,27," 95,503,895.00 "," 3,537,181.30 ",1%,14%,4.2,12%,0%,5,6%,7%,111.93
